,Variable Aleatoria,Probabilidad
0,0,0.02702702702702703
1,1,0.02702702702702703
2,2,0.02702702702702703
3,3,0.02702702702702703
4,4,0.02702702702702703
5,5,0.02702702702702703
6,6,0.02702702702702703
7,7,0.02702702702702703
8,8,0.02702702702702703
9,9,0.02702702702702703
10,10,0.02702702702702703
11,11,0.02702702702702703
12,12,0.02702702702702703
13,13,0.02702702702702703
14,14,0.02702702702702703
15,15,0.02702702702702703
16,16,0.02702702702702703
17,17,0.02702702702702703
18,18,0.02702702702702703
19,19,0.02702702702702703
20,20,0.02702702702702703
21,21,0.02702702702702703
22,22,0.02702702702702703
23,23,0.02702702702702703
24,24,0.02702702702702703
25,25,0.02702702702702703
26,26,0.02702702702702703
27,27,0.02702702702702703
28,28,0.02702702702702703
29,29,0.02702702702702703
30,30,0.02702702702702703
31,31,0.02702702702702703
32,32,0.02702702702702703
33,33,0.02702702702702703
34,34,0.02702702702702703
35,35,0.02702702702702703
36,36,0.02702702702702703
